Currency,Mean (%),Std (%),Skewness,Ex. Kurtosis,JB p-value,ARCH-LM p,ARCH Effect
BRL,0.030387573280863802,1.039392118725162,0.19792333528454062,4.170742527027655,0.0,3.454953061333045e-26,YES ***
RUB,0.025741663222236755,9.077089775663458,0.1424620610133104,780.9421428596636,0.0,3.4585261429841434e-195,YES ***
INR,0.01074098617634038,0.381437071939544,0.4705932841541223,6.131826640923478,0.0,1.0656430216751845e-56,YES ***
CNY,0.0024080004585636484,0.3304944757957045,-0.24849341085460144,7.3708969761815215,0.0,2.0408893760631498e-81,YES ***
ZAR,0.014572432746569901,1.1283874631766104,-0.005816453680475352,98.63771280376064,0.0,3.922595163380421e-182,YES ***
