Date,BRL,RUB,INR,CNY,ZAR
2017-01-03,0.9423023235182373,-0.004903113817800658,0.27793076780043763,0.0028772703098115214,-0.18429216394841405
2017-01-04,-0.6261935701262379,-0.4998694094273083,0.19925385979405408,0.22727609096730517,0.6266807629925377
2017-01-05,-1.525288686786179,-0.9201282646306587,-0.5645043018222704,-0.4998234058446875,-1.4542872621436012
2017-01-06,-0.5115535850083146,-1.609507750198187,-0.224890265615384,-0.53862397358334,-0.19065840260594488
2017-01-09,0.7632521488814942,0.2753713108323218,0.6029052114123069,0.42882044732285085,1.269583525202969
2017-01-10,-0.8320792389806004,0.8983323050563832,-0.0669421995311343,0.2771702534137969,-0.7331334197286177
2017-01-11,-0.0312966369266546,0.062371416498427826,0.3240125547041699,-0.22370020713204258,0.6020924852318964
2017-01-12,0.056332863492342164,-0.6035809989770095,-0.26088833858071314,0.21505218869495743,-0.06340199987404888
2017-01-13,-0.2976620660323164,-0.5798160603381854,-0.01540777186287732,-0.5957672371636522,-1.4331476666176568
2017-01-16,0.0,0.3435007400663741,0.04152613589121575,0.05654829804907618,0.023290834188981643
2017-01-17,1.671035116357682,0.24284330960268197,-0.0927718129837646,-0.1131285912918581,1.0065161034043117
2017-01-18,-0.9518999195367379,-0.7589526182318749,-0.28692276825061813,-0.6756132948675964,-1.538677367821664
2017-01-19,0.614964446021393,0.3251057999235326,0.4386569163738741,-0.09647845359093854,1.2052534986865335
2017-01-20,-1.080247625142229,0.2295607396984926,-0.15804226183294987,0.34016619368040174,-0.5559799144099005
2017-01-23,-1.6600818638935773,0.234055453582227,-0.019240523807257243,0.20674706524258182,0.47803083294335513
2017-01-24,0.6154879863740597,-0.4856262866061073,-0.03790917178327819,-0.45920616222442645,-1.1307209964759553
2017-01-25,0.22115418761569594,-0.6241918247591711,0.16605722729562591,0.07303169096125224,-0.6863937602350805
2017-01-26,-0.0063129833445873754,0.7194207894267646,-0.2813301747579548,0.35853344663243425,-0.9857693938686815
2017-01-27,0.2395761033451081,1.1890414812031858,0.2585953753108772,0.06980574578205538,0.8179882425708613
2017-01-30,-2.115991181301587,-0.8359434130229474,-0.05724607569432948,0.06685436541985226,0.9601833266807422
2017-01-31,0.5100136648254986,-0.09908346853948326,-0.4252185311923969,-0.03341813079352742,0.2958853981635535
