Date,BRL,RUB,INR,CNY,ZAR
2017-01-02,3.253200054168701,61.231300354003906,67.9448013305664,6.94379997253418,13.735690116882324
2017-01-03,3.2839999198913574,61.22829818725586,68.13390350341797,6.943999767303467,13.710399627685547
2017-01-04,3.2634999752044678,60.92300033569336,68.2697982788086,6.959799766540527,13.796589851379395
2017-01-05,3.214099884033203,60.3650016784668,67.885498046875,6.925099849700928,13.597399711608887
2017-01-06,3.197700023651123,59.40119934082031,67.73300170898438,6.887899875640869,13.571499824523926
2017-01-09,3.2221999168395996,59.564998626708984,68.1426010131836,6.917500019073486,13.74489974975586
2017-01-10,3.195499897003174,60.102500915527344,68.09700012207031,6.936699867248535,13.644499778747559
2017-01-11,3.194499969482422,60.13999938964844,68.31800079345703,6.921199798583984,13.726900100708008
2017-01-12,3.1963000297546387,59.778099060058594,68.13999938964844,6.936100006103516,13.718199729919434
2017-01-13,3.186800003051758,59.432498931884766,68.12950134277344,6.894899845123291,13.52299976348877
2017-01-16,3.186800003051758,59.637001037597656,68.15779876708984,6.898799896240234,13.52614974975586
2017-01-17,3.240499973297119,59.78200149536133,68.09459686279297,6.890999794006348,13.662980079650879
2017-01-18,3.2098000049591064,59.33000183105469,67.89949798583984,6.844600200653076,13.454360008239746
2017-01-19,3.229599952697754,59.52320098876953,68.197998046875,6.8379998207092285,13.617500305175781
2017-01-20,3.1949000358581543,59.65999984741211,68.09030151367188,6.861299991607666,13.541999816894531
2017-01-23,3.1422998905181885,59.799800872802734,68.07720184326172,6.875500202178955,13.606889724731445
2017-01-24,3.1617000102996826,59.510101318359375,68.05139923095703,6.843999862670898,13.453900337219238
2017-01-25,3.1686999797821045,59.139801025390625,68.16449737548828,6.848999977111816,13.361869812011719
2017-01-26,3.1684999465942383,59.56679916381836,67.9729995727539,6.873600006103516,13.230799674987793
2017-01-27,3.176100015640259,60.279300689697266,68.14900207519531,6.878399848937988,13.339469909667969
2017-01-30,3.109600067138672,59.77750015258789,68.11000061035156,6.882999897003174,13.468170166015625
2017-01-31,3.125499963760376,59.718299865722656,67.82099914550781,6.88070011138916,13.508079528808594
2017-02-01,3.150099992752075,60.15549850463867,67.50160217285156,6.878699779510498,13.46735954284668
2017-02-02,3.128000020980835,60.091400146484375,67.39540100097656,6.880899906158447,13.456500053405762
2017-02-03,3.122499942779541,59.3661994934082,67.2656021118164,6.880000114440918,13.37339973449707
2017-02-06,3.119499921798706,58.94609832763672,67.15730285644531,6.872200012207031,13.253899574279785
2017-02-07,3.1136999130249023,58.90010070800781,67.19529724121094,6.86359977722168,13.282620429992676
2017-02-08,3.1166999340057373,59.44260025024414,67.34049987792969,6.884500026702881,13.426799774169922
2017-02-09,3.1159000396728516,59.173099517822266,66.96430206298828,6.872499942779541,13.406900405883789
2017-02-10,3.1287999153137207,58.96120071411133,66.74530029296875,6.868599891662598,13.418190002441406
2017-02-13,3.107100009918213,58.2223014831543,66.84369659423828,6.895199775695801,13.368880271911621
2017-02-14,3.110100030899048,57.92559814453125,66.91539764404297,6.879499912261963,13.315199851989746
2017-02-15,3.081199884414673,57.03969955444336,66.7759017944336,6.866799831390381,13.076600074768066
2017-02-16,3.0560998916625977,57.330501556396484,66.8655014038086,6.8684000968933105,12.900699615478516
2017-02-17,3.0875000953674316,57.56650161743164,67.16480255126953,6.85260009765625,13.00879955291748
2017-02-20,3.0954999923706055,58.31700134277344,67.06520080566406,6.8557000160217285,13.06583023071289
2017-02-21,3.0855000019073486,57.910701751708984,66.96499633789062,6.8780999183654785,13.05247974395752
2017-02-22,3.093899965286255,57.39419937133789,66.96510314941406,6.882599830627441,13.14441967010498
2017-02-23,3.062299966812134,57.919498443603516,66.91429901123047,6.873700141906738,12.99800968170166
2017-02-24,3.06030011177063,57.73429870605469,66.68280029296875,6.865499973297119,12.853500366210938
2017-02-27,3.094599962234497,58.36309814453125,66.63500213623047,6.900700092315674,12.923500061035156
2017-02-28,3.105299949645996,58.18349838256836,66.69319915771484,6.870100021362305,12.991700172424316
2017-03-01,3.1080000400543213,58.35210037231445,66.7051010131836,6.866399765014648,13.122900009155273
2017-03-02,3.088200092315674,58.23630142211914,66.85800170898438,6.882199764251709,13.00879955291748
2017-03-03,3.154599905014038,58.71979904174805,66.84510040283203,6.887599945068359,13.143199920654297
2017-03-06,3.119999885559082,58.1870002746582,66.77300262451172,6.896200180053711,12.998900413513184
2017-03-07,3.137200117111206,58.233299255371094,66.66470336914062,6.896699905395508,13.003800392150879
2017-03-08,3.1159000396728516,58.13650131225586,66.61620330810547,6.902299880981445,12.957099914550781
2017-03-09,3.1593000888824463,58.872501373291016,66.76499938964844,6.911900043487549,13.140379905700684
2017-03-10,3.1912999153137207,59.256900787353516,66.68049621582031,6.910200119018555,13.313899993896484
2017-03-13,3.1475000381469727,59.068199157714844,66.48500061035156,6.856599807739258,13.195440292358398
2017-03-14,3.152400016784668,58.77439880371094,66.17009735107422,6.913000106811523,13.122879981994629
2017-03-15,3.1637001037597656,59.18600082397461,65.77510070800781,6.9145002365112305,13.139699935913086
2017-03-16,3.099900007247925,58.38079833984375,65.62049865722656,6.913599967956543,12.809399604797363
2017-03-17,3.11929988861084,57.770198822021484,65.40450286865234,6.896699905395508,12.757399559020996
2017-03-20,3.0866000652313232,57.15409851074219,65.46810150146484,6.904099941253662,12.698949813842773
2017-03-21,3.071000099182129,57.3036003112793,65.33529663085938,6.906000137329102,12.638019561767578
2017-03-22,3.0868000984191895,57.59049987792969,65.49500274658203,6.884900093078613,12.671899795532227
2017-03-23,3.0848000049591064,57.732398986816406,65.36499786376953,6.882999897003174,12.559370040893555
2017-03-24,3.1380999088287354,57.35449981689453,65.44439697265625,6.885799884796143,12.455599784851074
2017-03-27,3.1096999645233154,56.96860122680664,65.39309692382812,6.853499889373779,12.39896011352539
2017-03-28,3.125200033187866,56.87839889526367,65.04499816894531,6.872099876403809,12.738900184631348
2017-03-29,3.138400077819824,56.967899322509766,65.11000061035156,6.878300189971924,12.976579666137695
2017-03-30,3.1221001148223877,56.65129852294922,64.77999877929688,6.887700080871582,13.040800094604492
2017-03-31,3.147700071334839,55.98429870605469,64.79000091552734,6.888999938964844,13.432600021362305
2017-04-03,3.121799945831299,56.23460006713867,64.79669952392578,6.880199909210205,13.355690002441406
2017-04-04,3.11299991607666,56.084800720214844,64.87750244140625,6.883900165557861,13.690699577331543
2017-04-05,3.095599889755249,55.949798583984375,65.05000305175781,6.885200023651123,13.601300239562988
2017-04-06,3.1196000576019287,56.41429901123047,65.04000091552734,6.893899917602539,13.78007984161377
2017-04-07,3.1414999961853027,56.39849853515625,64.58000183105469,6.897799968719482,13.771900177001953
2017-04-10,3.144700050354004,57.375999450683594,64.26000213623047,6.905700206756592,13.757699966430664
2017-04-11,3.1317999362945557,57.10449981689453,64.57499694824219,6.903299808502197,13.913700103759766
2017-04-12,3.1368000507354736,57.028099060058594,64.62999725341797,6.8907999992370605,13.805150032043457
2017-04-13,3.123500108718872,56.62160110473633,64.5,6.890900135040283,13.461799621582031
2017-04-14,3.142400026321411,56.2588996887207,64.44999694824219,6.886499881744385,13.43809986114502
2017-04-17,3.143699884414673,56.30289840698242,64.45369720458984,6.890999794006348,13.392680168151855
2017-04-18,3.1303000450134277,55.88240051269531,64.4083023071289,6.868599891662598,13.291999816894531
2017-04-19,3.1064999103546143,56.19649887084961,64.56999969482422,6.881899833679199,13.263279914855957
2017-04-20,3.1482999324798584,56.567901611328125,64.64669799804688,6.886000156402588,13.26509952545166
2017-04-21,3.1470999717712402,56.10940170288086,64.66000366210938,6.881700038909912,13.131400108337402
2017-04-24,3.1468000411987305,56.42649841308594,64.63999938964844,6.792099952697754,12.980899810791016
2017-04-25,3.127000093460083,55.77989959716797,64.38999938964844,6.882500171661377,13.019499778747559
2017-04-26,3.147200107574463,56.060001373291016,64.3499984741211,6.881700038909912,13.070679664611816
2017-04-27,3.171099901199341,57.09700012207031,64.0199966430664,6.892099857330322,13.247420310974121
2017-04-28,3.1810998916625977,56.97200012207031,64.05999755859375,6.896900177001953,13.33899974822998
2017-05-01,3.176100015640259,56.93199920654297,64.25830078125,6.912099838256836,13.333800315856934
2017-05-02,3.175100088119507,56.97380065917969,64.18000030517578,6.89300012588501,13.3858003616333
2017-05-03,3.1501998901367188,57.0546989440918,64.06999969482422,6.893499851226807,13.337800025939941
2017-05-04,3.162100076675415,57.325401306152344,64.20999908447266,6.896699905395508,13.43280029296875
2017-05-05,3.1849000453948975,58.36000061035156,64.16999816894531,6.895400047302246,13.632499694824219
2017-05-08,3.1777000427246094,58.047000885009766,64.30799865722656,6.884699821472168,13.451080322265625
2017-05-09,3.1963999271392822,58.20500183105469,64.41179656982422,6.9045000076293945,13.607020378112793
2017-05-10,3.186800003051758,58.41899871826172,64.63999938964844,6.907100200653076,13.621500015258789
2017-05-11,3.1656999588012695,57.43960189819336,64.55000305175781,6.9029998779296875,13.488300323486328
2017-05-12,3.1389999389648438,57.07040023803711,64.36000061035156,6.90369987487793,13.355799674987793
2017-05-15,3.1777000427246094,57.0817985534668,64.16549682617188,6.902100086212158,13.366800308227539
