Currency,Mean Cond. Var (daily %²),Mean Cond. Vol (ann. %),Unconditional Var,Persistence (α+β),Half-life (days),Stability Rank
INR,0.1586315020456582,6.32258954191286,0.49591829465259657,1.1901805464587756,90.52811097032244,1
CNY,0.19007189369314706,6.9208465674853,2.4591159343097706,1.3579034889153698,18.62204979487502,2
ZAR,0.9899581449959219,15.794602006349267,0.909835372113481,0.9820207250019308,2.2085756401262486,3
BRL,1.0742816524627463,16.45353993585004,1.5879671415237757,1.0828378900478475,60.02324267119118,4
RUB,2350508.4108610763,24337.792002089904,3.3405430436084136,1.4838188740447824,3.5039854980369523,5
