Currency,StdResid Mean,StdResid Std,LB(10) p (z_t),LB(10) p (z²_t),Leverage γ,Persistence (α+β),Half-life (days)
BRL,0.014581672940878159,1.0014882861109309,5.504130390396932e-05,0.0002740614996084785,,1.0828378900478475,60.02324267119118
RUB,-0.07003500724852535,6.110973083193799,0.9999999989627846,0.9999999999999986,,1.4838188740447824,3.5039854980369523
INR,0.028663838340268446,1.0275447330549272,6.257037894441992e-05,0.19420360212815252,,1.1901805464587756,90.52811097032244
CNY,-0.014592868584098287,0.8041777849026257,0.00045310585674971174,0.024151858115100344,,1.3579034889153698,18.62204979487502
ZAR,0.015554184035379788,1.066032437690091,0.14400292909544163,0.9999982959152482,,0.9820207250019308,2.2085756401262486
