Currency,Stability Rank,Mean Cond Var,IV Weight,IV Weight (%)
INR,1,0.15778863737737803,0.4666105732899237,46.66105732899237
CNY,2,0.18873550402538716,0.3901006698527199,39.01006698527199
ZAR,3,0.9888074339963302,0.07445923646400043,7.445923646400043
BRL,4,1.069684626220741,0.06882948930977789,6.882948930977789
RUB,5,2368641.2967714774,3.108357801818633e-08,3.1083578018186327e-06
